Version,Year,Month,Bus.Unit,Type,Node,Variance,Idle_Cap,Email,Report
V001,2017,M01,BU01,PR,BP_01_35I_1,22%,23%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35I_2,13%,5%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35K_1,16%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35K_2,7%,6%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35L_1,26%,23%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_35L_2,18%,26%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38B_1,13%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38B_2,16%,18%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38C_1,15%,12%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38C_2,27%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38D_1,12%,4%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_38D_2,20%,17%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39B_1,29%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39B_2,17%,25%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39C_1,12%,6%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39C_2,10%,6%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39D_1,4%,9%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_39D_2,15%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_40B_1,24%,22%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_40B_2,11%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_40C_2,6%,12%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45C_1,10%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45C_2,22%,30%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45D_1,14%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45D_2,6%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45E_1,19%,26%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45E_2,25%,22%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45F_1,18%,5%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45F_2,3%,10%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45G_1,13%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45G_2,2%,7%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45H_1,14%,7%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_45H_2,8%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_46C_1,26%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_46D_1,1%,5%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_47B_2,13%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_47C_1,15%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_47C_2,3%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_47D_1,23%,30%,info@altavia.com,
V001,2017,M01,BU01,PR,BP_01_47D_2,14%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61B_1,27%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61B_2,9%,12%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61C_1,21%,19%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61C_2,18%,11%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61D_1,22%,26%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_61D_2,14%,6%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_70A_1,25%,8%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_70A_2,22%,22%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_76B_1,21%,19%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78A_1,8%,3%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78A_2,7%,9%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78A_3,27%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78B_1,12%,6%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78B_2,15%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78B_3,29%,18%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78D_1,4%,17%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_78D_2,25%,5%,info@altavia.com,
V001,2017,M01,BU01,SR,BP_01_79B_1,8%,19%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_716428,15%,0%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_719456,28%,9%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_720543,8%,17%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_720863,29%,28%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_731680,3%,25%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_732880,8%,4%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750002XFA,25%,23%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750005XGA,18%,5%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750008XBA,6%,8%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750015,20%,26%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750019,3%,9%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750022,28%,19%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750063,24%,24%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750066,11%,8%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750079XBA,2%,28%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750087,18%,4%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750095XJA,26%,6%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750096,17%,16%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750106,13%,4%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750122,5%,25%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750126,14%,0%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750128,0%,12%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750131,16%,21%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_750132,13%,21%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_760010,11%,25%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_999999,13%,18%,info@altavia.com,
V001,2017,M01,BU01,FP,FP_CTS,30%,21%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14A,18%,22%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14B,23%,27%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14C,6%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14D,26%,13%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14E,24%,16%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14F,15%,16%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14G,1%,9%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14H,0%,20%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_14I,1%,21%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_15A,23%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16A,14%,9%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16B,3%,16%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16C,9%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16D,19%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16E,6%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16F,25%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16G,26%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16H,18%,1%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_16I,29%,1%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_17A,16%,9%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_17B,16%,22%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_17C,29%,20%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_17D,16%,4%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_18A,2%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19A,19%,26%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19B,27%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19C,5%,6%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19D,2%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19E,14%,2%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19F,9%,0%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19G,23%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19H,1%,9%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19I,14%,11%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19K,15%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_19L,29%,0%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_23A,10%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_23B,24%,21%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_24A,0%,21%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_25A,22%,15%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_25B,22%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_31A,14%,9%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_31B,3%,11%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_31C,24%,25%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_31D,30%,12%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_31E,26%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_34A,19%,22%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_34B,11%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_34C,11%,25%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_34D,16%,9%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35A,17%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35B,17%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35C,30%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35D,18%,6%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35E,2%,24%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35F,5%,7%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35G,1%,0%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35H,27%,10%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35I,16%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35J,25%,30%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35K,10%,1%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35L,21%,8%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35M,2%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_35N,22%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_38A,19%,4%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_38B,9%,20%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_38C,21%,5%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_38D,12%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_39A,27%,2%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_39B,2%,22%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_39C,18%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_39D,4%,1%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_40A,23%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_40B,25%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_40C,29%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_40D,17%,0%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45A,28%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45B,19%,1%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45C,9%,14%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45D,11%,18%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45E,8%,12%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45F,27%,29%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45G,18%,21%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_45H,29%,28%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_46A,17%,27%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_46C,19%,15%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_46D,7%,14%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_47A,25%,0%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_47B,9%,13%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_47C,25%,19%,info@altavia.com,
V001,2017,M01,BU01,PR,RP_01_47D,11%,23%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_61A,19%,21%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_61B,7%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_61C,18%,9%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_61D,0%,8%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_70A,17%,29%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_75A,25%,22%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_76A,9%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_76B,18%,15%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_76C,9%,24%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_78A,16%,11%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_78B,26%,8%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_78C,22%,11%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_78D,19%,13%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_79A,20%,26%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_79B,22%,18%,info@altavia.com,
V001,2017,M01,BU01,SR,RP_01_79C,12%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_307485,8%,26%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314612,23%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314613,1%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314614,9%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314615,25%,15%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314616,29%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314617,26%,21%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314618,3%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314619,11%,25%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314620,25%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314621,18%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314622,2%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314623,21%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314624,26%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314626,24%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314628,23%,1%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314629,15%,7%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314630,18%,21%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314631,2%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314632,3%,1%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314633,30%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314634,25%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314635,26%,7%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314636,29%,15%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314637,3%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314638,25%,24%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314639,7%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314640,30%,1%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314641,30%,25%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314642,11%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314643,12%,26%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314644,12%,3%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314645,4%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314646,23%,4%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314647,20%,15%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314648,28%,22%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314649,21%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314650,22%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314651,3%,27%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314652,20%,13%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314653,27%,2%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314654,4%,11%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314655,14%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314656,21%,15%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314682,5%,25%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314683,26%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_314684,3%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315651,11%,30%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315653,20%,13%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315655,26%,27%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315656,11%,2%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315657,28%,0%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315660,9%,14%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315661,4%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315662,17%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315663,22%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315664,19%,21%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315665,18%,2%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315670,26%,22%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315674,18%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315680,15%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_315738,9%,27%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350004,25%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350005,8%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350006,24%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350014,29%,27%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350015,30%,24%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350016,19%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350021,8%,4%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350025,23%,11%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350027,30%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350039,29%,24%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350040,9%,9%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350043,19%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350046,26%,7%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350049,12%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350052,14%,30%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350055,12%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350058,29%,13%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350074,6%,15%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350075,16%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350079,0%,14%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350082,18%,19%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350085,6%,20%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350088,21%,4%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350091,11%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350092,7%,1%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350096,2%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350097,15%,13%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350098,6%,3%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350099,19%,24%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350100,19%,14%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350119,16%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350120,13%,23%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350124,3%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350132,15%,23%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350140,8%,23%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350144,22%,23%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350147,13%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350156,16%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350160,7%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350164,26%,23%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350168,18%,26%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350172,13%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350207,16%,18%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350211,15%,12%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350216,27%,21%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350218,12%,4%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350223,20%,17%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350230,29%,27%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350232,17%,25%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350233,12%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350238,10%,6%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350242,4%,9%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350243,15%,19%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350244,24%,22%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350246,11%,19%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350247,6%,12%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350250,10%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350266,22%,30%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350268,14%,29%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350271,6%,28%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350276,19%,26%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350277,25%,22%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350279,18%,5%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350280,3%,10%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350281,13%,8%,info@altavia.com,
V001,2017,M01,BU01,SP,SF_350287,2%,7%,info@altavia.com,
